Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2016-01-12,85.15582280251776,85.23865290947549,83.5501899078166,84.6779556274414,5312320,0.0,0.0
2016-01-13,85.06023631440218,85.55721178922134,83.53106262404685,83.5756607055664,4916305,0.0,0.0
2016-01-14,84.05988953464008,85.24500041013592,83.60751219204307,84.6843032836914,5972242,0.0,0.0
2016-01-15,82.83659240296393,83.39091864775233,82.11023475198641,82.84933471679688,9422891,0.0,0.0
2016-01-19,82.90027349593113,84.16821453396784,81.59410553279344,81.62596130371094,10438662,0.0,0.0
2016-01-20,75.47742066794322,79.00088778469797,75.18432721912717,77.64374542236328,16901059,0.0,0.0
2016-01-21,77.28693745276699,79.70812863541713,76.82818383351113,78.31275939941406,9258774,0.0,0.0
2016-01-22,79.43416375006694,79.47876692348964,77.58641678285068,78.0515365600586,9663366,0.0,0.0
2016-01-25,77.7966778583869,79.15382047466552,77.50358943944946,77.783935546875,5696516,0.0,0.0
2016-01-26,77.8922217307058,78.75875452785067,77.88585057728498,78.10885620117188,4830219,0.0,0.0
2016-01-27,78.19807039914748,78.6058497092874,76.87278891237281,77.07030487060547,5257614,0.0,0.0
2016-01-28,77.26147186942481,78.26180436051685,77.10218280277894,77.87313842773438,4123855,0.0,0.0
2016-01-29,78.54850710987583,79.51061248779297,78.34461998970184,79.51061248779297,8627513,0.0,0.0
2016-02-01,79.26213750936247,79.82920598116097,78.82250232582672,79.53611755371094,3739345,0.0,0.0
2016-02-02,78.7970034701219,79.09646299942595,78.14072876423985,78.33187866210938,3438516,0.0,0.0
2016-02-03,79.00089384957106,79.93113841922384,77.917731389207,79.46601867675781,6509781,0.0,0.0
2016-02-04,79.69538221364235,81.87444908084409,79.6444078970047,81.33287048339844,5508759,0.0,0.0
2016-02-05,81.05889040474676,81.96365528660633,80.18599146222908,81.91905212402344,7507874,0.0,0.0
